ADC
ADD
ADR
AND
ASR
B
BFC
BFI
BIC
BKPT
BL
BLX
BX
BXJ
CLREX
CLZ
CMN
CMP
DBG
DMB
DSB
EOR
ISB
LDM
LDMDA
LDMDB
LDMIB
LDR
LDRB
LDRBT
LDRD
LDREX
LDREXB
LDREXD
LDREXH
LDRH
LDRHT
LDRSB
LDRSBT
LDRSH
LDRSHT
LDRT
LSL
LSR
MLA
MLS
MOV
MOVT
MOVW
MRS
MSR
MUL
MVN
NOP
ORR
PKH
PLD
PLI
POP
PUSH
QADD
QASX
QDADD
QDSUB
QSAX
QSUB
RBIT
REV
REVSH
ROR
RRX
RSB
RSC
SADD
SASX
SBC
SBFX
SDIV
SEL
SETEND
SEV
SHADD
SHASX
SHSAX
SHSUB
SMLA
SMLAD
SMLAL
SMLALD
SMLAW
SMLSD
SMLSLD
SMMLA
SMMLS
SMMUL
SMUAD
SMUL
SMULL
SMULW
SMUSD
SSAT
SSAX
SSUB
STM
STMDA
STMDB
STMIB
STR
STRB
STRBT
STRD
STREX
STREXB
STREXD
STREXH
STRH
STRHT
STRT
SUB
SVC
SWP
SXTAB
SXTAH
SXTB
SXTH
TEQ
TST
UADD
UASX
UBFX
UDIV
UHADD
UHASX
UHSAX
UHSUB
UMAAL
UMLAL
UMULL
UNDEF
UQADD
UQASX
UQSAX
UQSUB
USAD
USADA
USAT
USAX
USUB
UXTAB
UXTAH
UXTB
UXTH
V
VABA
VABAL
VABD
VABDL
VABS
VAC
VADD
VADDHN
VADDL
VAND
VBIC
VCEQ
VCGE
VCGT
VCLE
VCLS
VCLT
VCLZ
VCMP
VCNT
VCVT
VDIV
VDUP
VEOR
VEXT
VH
VLD
VLDR
VMOV
VMOVL
VMOVN
VMRS
VMSR
VMUL
VMULL
VMVN
VN
VNEG
VNMUL
VORN
VORR
VP
VPADAL
VPADD
VPADDL
VPOP
VPUSH
VQABS
VQADD
VQD
VQDMULH
VQDMULL
VQMOV
VQNEG
VQRDMULH
VQRSHL
VQRSHR
VQSHL
VQSHR
VQSUB
VRADDHN
VRECPE
VRECPS
VREV
VRHADD
VRSHL
VRSHR
VRSHRN
VRSQRTE
VRSQRTS
VRSRA
VRSUBHN
VSHL
VSHLL
VSHR
VSHRN
VSLI
VSQRT
VSRA
VSRI
VST
VSTR
VSUB
VSUBHN
VSUBL
VSWP
VTRN
VTST
VUZP
VZIP
WFE
WFI
YIELD
