Var
Function
FunctionEnd
Section
SectionEnd
StrCmp
IntCmp
IfAbort
IfErrors
Goto
!macro
!macroend
!insertmacro
Abort
Call
Return
Quit
ClearErrors
Push
Pop
Delete
Exec
ExecShell
ExecShellWait
ExecWait
File
Rename
ReserveFile
RMDir
SetOutPath
MessageBox
Nop
