auto
break
case
char
continue
default
do
double
else
entry
extern
float
for
goto
if
int
long
register
return
short
sizeof
static
struct
switch
typedef
union
unsigned
void
volatile
while
asm
bool
catch
class
const_cast
delete
dynamic_cast
explicit
false
friend
inline
mutable
namespace
new
operator
private
public
protected
reinterpret_cast
static_cast
template
this
throw
true
try
typeid
typename
using
virtual
wchar_t
and
and_eq
bitand
bitor
compl
not
not_eq
or
or_eq
xor
xor_eq
cin
cout
endl
include
INT_MIN
INT_MAX
iomanip
iostream
main
MAX_RAND
npos
NULL
std
string
