else
lock
qw
elsif
lt
qx
eq
m
s
__DATA__
__END__
__FILE__
__LINE__
__PACKAGE__
exp
ne
sub
for
no
tr
and
foreach
or
unless
cmp
ge
package
until
continue
gt
q
while
CORE
if
qq
xor
do
le
qr
y
