FROM
LABEL
RUN
CMD
EXPOSE
ENV
ADD
COPY
ENTRYPOINT
VOLUME
USER
WORKDIR
ONBUILD
MAINTAINER
ARG
STOPSIGNAL
HEALTHCHECK
SHELL
