add_compile_options
add_definitions
add_executable
add_library
break
cmake_minimum_required
continue
else
elseif
endforeach
endfunction
endif
endmacro
endwhile
exec_program
execute_process
export
file
find_package
foreach
function
if
include
install
link_libraries
list
macro
math
message
option
project
remove
return
set
string
subdirs
target_include_directories
target_link_libraries
try_compile
try_run
unset
while
write_file
