And
As
Boolean
ByRef
Byte
ByVal
Call
Case
Class
Const
Currency
Debug
Dim
Do
Double
Each
Else
ElseIf
Empty
End
EndIf
Enum
Eqv
Event
Exit
False
For
Function
Get
GoTo
If
Imp
Implements
In
Integer
Is
Let
Like
Long
Loop
LSet
Me
Mod
New
Next
Not
Nothing
Null
On
Option
Optional
Or
ParamArray
Preserve
Private
Public
RaiseEvent
ReDim
Rem
Resume
RSet
Select
Set
Shared
Single
Static
Stop
Sub
Then
To
True
Type
TypeOf
Until
Variant
Wend
While
With
Xor
